brand,colour,model,mrp,name,price,sizes,symbol
 RedTape, BLACK, RLW0021,4499.0,RedTape Sports Walking Shoes for Women | Comfortable Slip-On,1349.0,"3,4,5,6,7",₹
 RedTape, White/Lavender, RLV0156,4999.0,RedTape Sneaker Casual Shoes for Women | Comfortable & Casual look,1499.0,"3,4,5,6,7",₹
 RedTape, LIGHT PURPLE, RLO0977,5199.0,RedTape Sports Shoes for Women | Slip-On Athleisure Shoes,1559.0,"3,4,5,6,7",₹
 RedTape, White/Peach, RLV0183,5099.0,RedTape Sneaker Shoes for Women | Comfortable & Slip Resistant,1529.0,"3,4,5,6,7",₹
 RedTape, White/Pink, RLV0153,4999.0,RedTape Sneaker Shoes for Women | Comfortable & Casual Style,1499.0,"3,4,5,6,7",₹
 RedTape, MINT GREEN , RLW0024,4499.0,RedTape Sports Walking Shoes for Women | Comfortable &  Durable,1349.0,"3,4,5,6,7",₹
 RedTape, GREY , RLW0022,4499.0,RedTape Walking Sports Shoes for Women | Comfortable  Slip-Resistant,1349.0,"3,4,5,6,7",₹
 RedTape, TEAL BLUE, RLO1174,5499.0,RedTape Sports Athleisure Shoes for Women | Comfortable & Slip-Resistant,1649.0,"3,4,5,6,7",₹
 RedTape, Navy/Light Grey, RTF0094,3299.0,RedTape Sports Sandals for Men | Comfortable  Slip-Resistant,989.0,"6,7,8,9,10",₹
 RedTape, BLACK, RMW0091,4699.0,RedTape Sports Walking Shoes for Men | Slip-On & Comfortable,1409.0,"6,7,8,9",₹
 RedTape, DARK GREY, RMW0083,4699.0,RedTape Sports Walking Shoes for Men | Comfortable Slip-On,1409.0,"6,7,8,9,10",₹
 RedTape, NAVY  , RMW0084,4699.0,RedTape Sports Walking Shoes For Men | Comfortable & Slip Resistant,1409.0,"6,7,8,9,10",₹
 RedTape, BEIGE, RFF1127,2199.0,RedTape Slippers for Men | Comfortable  Slip-Resistant Sliders,659.0,"6,7,8,9,10",₹
 RedTape, BROWN, RFF1022,2199.0,RedTape Slippers for Men | Comfortable  Slip-Resistant Sliders,659.0,"6,7,8,9,10",₹
 RedTape, BLACK, RTF0091,3299.0,RedTape Sports Sandals for Men | Comfortable  Slip-Resistant,989.0,"6,7,8,9,10",₹
 RedTape, BLACK, RMW0221,5599.0,RedTape Sports Walking Shoes for Men | Comfortable  Slip-Resistant,1679.0,"6,7,8,9,10",₹
 RedTape, BLACK, RMW0031,5399.0,RedTape Sports Shoes for Men | Comfortable Walking Shoes,1619.0,"6,7,8,9",₹
 RedTape, BLACK/WHITE, RMW0032,5399.0,RedTape Sports Shoes for Men | Comfortable Slip-Ons Walking Shoes,1619.0,"6,7,8",₹
 RedTape, BLACK/WHITE, RSO2922,4999.0,RedTape Slip-On Walking Shoes for Men | Comfortable Sports Shoes,1499.0,"6,7,8,9,10",₹
 RedTape, BLACK, RMW0081,4699.0,RedTape Sports Walking Shoes for Men | Comfortable Slip-On,1409.0,"6,7,8,9,10",₹
 RedTape, WHITE  , RLO1515,5099.0,"RedTape Women's Sports Shoes - Slip-on Shape Adjustable Sports Walking Shoes, Perfect for Walking & Running",1529.0,"3,4,5,6,7",₹
 RedTape, BLACK/PINK, RLO1451,4999.0,RedTape Sneakers Shoes for Women | Casual Lace Up Shoes,1499.0,"3,4,5,6,7",₹
 RedTape, BLACK, RLO1311,5599.0,"RedTape Women's Sports Shoes - Slip-on Shape Adjustable Sports Walking Shoes, Perfect for Walking & Running",1679.0,"3,4,5,6,7",₹
 RedTape, BLACK, RLO1171,5499.0,RedTape Sports Shoes for Women | Lace-Up Closure Athleisure Shoes,1649.0,"4,5,6,7",₹
 RedTape, BLACK , RLW0026,4499.0,"RedTape Women's Sports Shoes - Slip-on Shape Adjustable Sports Walking Shoes, Perfect for Walking & Running",1349.0,"3,4,5,6,7",₹
 RedTape, BLACK, RLO0971,5199.0,"RedTape Sports Shoes for Women's- Black Lace-Up Shape Adjustable Sports Athleisure Shoes, Perfect Walking & Running Shoes",1559.0,"3,4,5,6,7",₹
 RedTape, PINK , RLO1452,4999.0,RedTape Sneakers Shoes for Women | Casual Sneaker Shoes,1499.0,"3,4,5,6,7",₹
 RedTape, PINK , RLO1442,6599.0,"RedTape Sports Shoes for Women's- Pink Lace-Up Shape Adjustable Sports Athleisure Shoes, Perfect Walking & Running Shoes",1979.0,"3,4,5,6,7",₹
 RedTape, WHITE , RLO1445,6599.0,"RedTape Sports Shoes for Women's- White Lace-Up Shape Adjustable Sports Athleisure Shoes, Perfect Walking & Running Shoes",1979.0,"3,4,5,6,7",₹
 RedTape, PURPLE , RLO1448,6599.0,"RedTape Sports Shoes for Women's- Purple Lace-Up Shape Adjustable Sports Athleisure Shoes, Perfect Walking & Running Shoes",1979.0,"3,4,5,6,7",₹
 RedTape, BERRY, RLF0095,3199.0,RedTape Sports Sandals for Women's- Casual and Stylish Casual Sliders,959.0,3,₹
 RedTape, MINT GREEN , RLF0097,3199.0,RedTape Women's Sports Sandals - Casual and Stylish Casual Sliders Perfect for Walking,959.0,"3,4,6",₹
 RedTape, BLACK, RLF0071,3199.0,RedTape Women Black Sports Sandals,959.0,3,₹
 RedTape, BLACK, RLO2111,4999.0,RedTape Women Black Walking Shoes,1499.0,"3,4,5,6,7",₹
 RedTape, WHITE  , RLO0845A,6399.0,RedTape Women White Walking Shoes,1919.0,"3,4,5,6",₹
 RedTape, WHITE/ BLUE, RLO0824A,5999.0,RedTape Women White/Blue Walking Shoes,1799.0,"3,4,5,6,7",₹
 RedTape, MINT GREEN , RLF0076,3199.0,RedTape Women's Sports Sandals - Casual and Stylish Casual Sliders,959.0,"3,4,5,6,7",₹
 RedTape, WHITE  , RLO1447,6599.0,RedTape Women White Walking Shoes,1979.0,"3,4,5,6,7",₹
 RedTape, NAVY  , RLV0154,4999.0,RedTape Women Navy Sanekers,1499.0,"4,5,6,7",₹
 RedTape, BLACK, RLO1511,5099.0,"RedTape Women's Sports Shoes - Slip-on Shape Adjustable Sports Walking Shoes, Perfect for Walking & Running",1529.0,"3,4,5,6,7",₹
 RedTape, BLACK, RLF0091,3199.0,"RedTape Womens Navy Sports Sandals - Utmost Comfort, Arch Support, Dynamic Feet Support, On-Ground Stability, Shock Absorption",959.0,3,₹
